image_path,avg_brightness,avg_saturation,color_contrast,color_diversity_score,visual_complexity,face_count,face_to_frame_ratio,image_sharpness,clip_product_focus_score,clip_people_present_score,clip_luxury_aesthetic_score,clip_playful_tone_score,clip_minimal_design_score,text_element_count,total_text_length,text_density_pct,avg_text_size_px,cta_keyword_count,has_cta,button_text_count,has_price,price_count,has_discount,urgency_language_score,attention_color_pop,attention_contrast_ratio,center_focus_score,rule_of_thirds_score,mobile_aspect_ratio,hd_quality,mobile_readability_score,mobile_simplicity_score,color_harmony_score,visual_balance_score,professional_look_score,scrollability_score,curiosity_gap_score,value_prop_clarity,information_density,first_impression_score,brand_product_balance,cta_prominence_score,emotional_appeal_score
images_train/image_ads/i0001.png,97.77,80.49,100.36,16.3,11.49,2,0.74,1.0,0.423,0.499,0.011,0.066,0.001,0,0,0.0,0.0,0,False,0,False,0,False,0,22.51,0.325,12.65,3,1,0,0.7,0.43,0.424,0.831,0.885,0.331,0.6,0.5,sparse,0.757,balanced,0.0,0.4
images_train/image_ads/i0002.png,200.23,31.02,67.4,11.39,10.92,0,0.0,1.0,0.004,0.036,0.229,0.73,0.001,0,0,0.0,0.0,0,False,0,False,0,False,0,11.5,0.628,10.93,4,1,0,0.3,0.45,0.679,0.875,0.82,0.206,0.6,0.2,sparse,0.63,balanced,0.0,0.3
images_train/image_ads/i0003.png,94.79,22.67,106.94,9.96,6.92,0,0.0,1.0,0.06,0.013,0.922,0.0,0.005,0,0,0.0,0.0,0,False,0,False,0,False,0,5.42,0.211,6.79,4,0,0,0.7,0.65,0.537,0.886,0.916,0.115,0.6,0.2,sparse,0.78,brand_focused,0.0,0.0
images_train/image_ads/i0004.png,107.64,39.55,99.14,8.6,9.32,0,0.0,1.0,0.116,0.005,0.878,0.0,0.0,0,0,0.0,0.0,0,False,0,False,0,False,0,1.47,0.274,15.04,4,1,0,0.7,0.53,0.556,0.871,0.894,0.133,0.6,0.2,sparse,0.765,brand_focused,0.0,0.0
images_train/image_ads/i0005.png,160.91,109.71,86.38,31.33,9.77,0,0.0,1.0,0.948,0.021,0.025,0.002,0.005,0,0,0.0,0.0,0,False,0,False,0,False,0,42.62,0.288,15.1,3,1,0,0.7,0.51,0.327,0.846,0.856,0.259,0.6,0.5,sparse,0.731,product_focused,0.0,0.0
images_train/image_ads/i0006.png,185.02,130.13,60.29,21.17,12.25,0,0.0,1.0,0.939,0.048,0.012,0.0,0.0,0,0,0.0,0.0,0,False,0,False,0,False,0,51.43,0.612,19.91,4,1,0,0.3,0.39,0.425,0.869,0.802,0.346,0.6,0.5,sparse,0.699,product_focused,0.0,0.0
images_train/image_ads/i0007.png,237.02,6.62,55.58,4.21,3.9,0,0.0,1.0,0.964,0.023,0.009,0.003,0.001,0,0,0.0,0.0,0,False,0,False,0,False,0,1.42,0.837,5.45,0,0,0,0.7,0.81,0.199,0.943,0.813,0.193,0.6,0.5,sparse,0.364,product_focused,0.0,0.0
images_train/image_ads/i0008.png,205.99,23.22,52.84,6.34,8.04,0,0.0,1.0,0.977,0.002,0.007,0.012,0.002,0,0,0.0,0.0,0,False,0,False,0,False,0,4.64,0.788,8.65,3,0,0,0.7,0.6,0.544,0.874,0.786,0.204,0.6,0.5,sparse,0.515,product_focused,0.0,0.0
images_train/image_ads/i0009.png,125.03,51.7,86.96,16.22,4.75,0,0.0,1.0,0.959,0.0,0.037,0.003,0.0,0,0,0.0,0.0,0,False,0,False,0,False,0,3.68,0.003,4.96,2,1,0,0.7,0.76,0.661,0.822,0.85,0.074,0.6,0.5,sparse,0.625,product_focused,0.0,0.0
images_train/image_ads/i0010.png,112.8,114.09,73.71,8.78,5.29,1,1.51,1.0,0.859,0.004,0.046,0.053,0.038,0,0,0.0,0.0,0,False,0,False,0,False,0,37.28,0.335,2.24,0,1,0,0.7,0.74,0.595,0.901,0.843,0.284,0.6,0.5,sparse,0.538,product_focused,0.0,0.4
images_train/image_ads/i0011.png,191.99,78.26,54.65,10.38,6.85,0,0.0,1.0,0.552,0.111,0.04,0.263,0.035,0,0,0.0,0.0,0,False,0,False,0,False,0,4.83,0.803,8.75,4,0,0,0.7,0.66,0.531,0.886,0.794,0.207,0.6,0.5,sparse,0.627,balanced,0.0,0.0
images_train/image_ads/i0012.png,184.0,85.66,86.48,7.29,10.84,0,0.0,1.0,0.303,0.003,0.492,0.08,0.122,0,0,0.0,0.0,0,False,0,False,0,False,0,32.31,0.311,12.64,4,1,0,0.7,0.46,0.642,0.801,0.843,0.225,0.6,0.5,sparse,0.755,balanced,0.0,0.0
images_train/image_ads/i0013.png,205.3,71.35,70.41,6.37,6.27,0,0.0,1.0,0.593,0.043,0.31,0.051,0.003,0,0,0.0,0.0,0,False,0,False,0,False,0,25.17,0.599,8.73,3,0,0,0.7,0.69,0.577,0.738,0.786,0.237,0.6,0.5,sparse,0.624,balanced,0.0,0.0
images_train/image_ads/i0014.png,175.52,118.81,77.75,11.5,5.72,0,0.0,1.0,0.367,0.013,0.543,0.074,0.003,0,0,0.0,0.0,0,False,0,False,0,False,0,47.8,0.379,4.18,1,0,0,0.7,0.71,0.556,0.936,0.863,0.261,0.6,0.5,sparse,0.611,balanced,0.0,0.0
images_train/image_ads/i0015.png,159.65,65.07,78.06,29.85,12.0,1,4.75,1.0,0.995,0.002,0.003,0.0,0.0,0,0,0.0,0.0,0,False,0,False,0,False,0,17.32,0.24,12.88,3,1,0,0.3,0.4,0.636,0.834,0.833,0.237,0.6,0.5,sparse,0.654,product_focused,0.0,0.4
images_train/image_ads/i0016.png,57.7,107.98,101.21,0.44,6.4,0,0.0,1.0,0.264,0.022,0.68,0.008,0.026,0,0,0.0,0.0,0,False,0,False,0,False,0,41.71,0.542,13.35,3,0,0,0.7,0.68,0.391,0.922,0.914,0.29,0.6,0.2,sparse,0.793,balanced,0.0,0.0
images_train/image_ads/i0017.png,218.38,33.73,81.33,4.6,4.49,0,0.0,1.0,0.039,0.003,0.65,0.018,0.29,0,0,0.0,0.0,0,False,0,False,0,False,0,11.05,0.732,8.17,3,1,0,0.7,0.78,0.398,0.936,0.871,0.213,0.6,0.2,sparse,0.642,brand_focused,0.0,0.0
images_train/image_ads/i0018.png,182.48,32.47,59.83,14.63,8.32,1,20.37,1.0,0.184,0.072,0.569,0.116,0.059,0,0,0.0,0.0,0,False,0,False,0,False,0,0.96,0.562,7.7,3,0,0,0.7,0.58,0.545,0.797,0.779,0.223,0.6,0.2,sparse,0.547,balanced,0.0,0.4
